long_name,short_name,start_datetime,end_datetime,temporal_resolution,temporal_aggregation,min_lat,max_lat,min_lon,max_lon,spatial_resolution,file_path
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,mean,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/daily_mean_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,min,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/daily_min_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,max,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/daily_max_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/weekly_mean_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,min,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/weekly_min_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,max,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/weekly_max_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/monthly_mean_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,min,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/monthly_min_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,max,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/monthly_max_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/yearly_mean_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,min,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/yearly_min_2014-2023.nc
2m_temperature,t2m,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,max,-90,90,-180,180,0.25,/data/era5/precomputed/2m_temperature/yearly_max_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/weekly_mean_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,min,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/weekly_min_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,max,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/weekly_max_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/monthly_mean_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,min,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/monthly_min_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,max,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/monthly_max_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,mean,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/yearly_mean_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,min,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/yearly_min_2014-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,max,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/yearly_max_2014-2023.nc
total_precipitation,tp,2019-01-01 00:00:00,2023-12-31 23:59:59,daily,mean,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/daily_mean_2019-2023.nc
total_precipitation,tp,2019-01-01 00:00:00,2023-12-31 23:59:59,daily,min,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/daily_min_2019-2023.nc
total_precipitation,tp,2019-01-01 00:00:00,2023-12-31 23:59:59,daily,max,-90,90,-180,180,0.25,/data/era5/precomputed/total_precipitation/daily_max_2019-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,mean,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/daily_mean_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,min,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/daily_min_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,daily,max,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/daily_max_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,mean,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/weekly_mean_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,min,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/weekly_min_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,weekly,max,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/weekly_max_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,mean,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/monthly_mean_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,min,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/monthly_min_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,monthly,max,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/monthly_max_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,mean,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/yearly_mean_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,min,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/yearly_min_2014-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2023-12-31 23:59:59,yearly,max,-90,30,-180,180,0.5,/data/era5/precomputed/surface_pressure/yearly_max_2014-2023.nc
