long_name,short_name,start_datetime,end_datetime,temporal_resolution,temporal_aggregation,min_lat,max_lat,min_lon,max_lon,spatial_resolution,file_path
2m_temperature,t2m,2014-01-01 00:00:00,2014-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2014.nc
2m_temperature,t2m,2015-01-01 00:00:00,2015-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2015.nc
2m_temperature,t2m,2016-01-01 00:00:00,2016-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2016.nc
2m_temperature,t2m,2017-01-01 00:00:00,2017-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2017.nc
2m_temperature,t2m,2018-01-01 00:00:00,2018-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2018.nc
2m_temperature,t2m,2019-01-01 00:00:00,2019-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2019.nc
2m_temperature,t2m,2020-01-01 00:00:00,2020-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2020.nc
2m_temperature,t2m,2021-01-01 00:00:00,2021-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2021.nc
2m_temperature,t2m,2022-01-01 00:00:00,2022-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2022.nc
2m_temperature,t2m,2023-01-01 00:00:00,2023-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/2m_temperature/2m_temperature-2023.nc
total_precipitation,tp,2014-01-01 00:00:00,2014-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2014.nc
total_precipitation,tp,2015-01-01 00:00:00,2015-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2015.nc
total_precipitation,tp,2016-01-01 00:00:00,2016-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2016.nc
total_precipitation,tp,2017-01-01 00:00:00,2017-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2017.nc
total_precipitation,tp,2018-01-01 00:00:00,2018-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2018.nc
total_precipitation,tp,2019-01-01 00:00:00,2019-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2019.nc
total_precipitation,tp,2020-01-01 00:00:00,2020-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2020.nc
total_precipitation,tp,2021-01-01 00:00:00,2021-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2021.nc
total_precipitation,tp,2022-01-01 00:00:00,2022-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2022.nc
total_precipitation,tp,2023-01-01 00:00:00,2023-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/total_precipitation/total_precipitation-2023.nc
surface_pressure,sp,2014-01-01 00:00:00,2014-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2014.nc
surface_pressure,sp,2015-01-01 00:00:00,2015-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2015.nc
surface_pressure,sp,2016-01-01 00:00:00,2016-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2016.nc
surface_pressure,sp,2017-01-01 00:00:00,2017-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2017.nc
surface_pressure,sp,2018-01-01 00:00:00,2018-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2018.nc
surface_pressure,sp,2019-01-01 00:00:00,2019-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2019.nc
surface_pressure,sp,2020-01-01 00:00:00,2020-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2020.nc
surface_pressure,sp,2021-01-01 00:00:00,2021-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2021.nc
surface_pressure,sp,2022-01-01 00:00:00,2022-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2022.nc
surface_pressure,sp,2023-01-01 00:00:00,2023-12-31 23:59:59,hourly,,-90,90,-180,180,0.25,/data/era5/raw/surface_pressure/surface_pressure-2023.nc
